"birth_date","injury_date","Player_Name_Cleaned","age_at_injury","height_cm","weight_kg","Team","position","Injury_Method","Injury_Location","Other_Injury","career_before","career_after","career_all","Notes","injury_year","injury_month","injury_day","birth_year","birth_month","birth_day","year_start","year_end","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","Season","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
1949-06-28,1982-10-28,"tom owens",33,208.28,97.52,"Pistons","C-F","Fractures",NA,NA,10,1,11,"placed on IL with broken right thumb",1982,10,28,1949,6,28,1972,1983,238,49,81,192,0.422,45,66,0.682,186,44,115,207,0,1983,725,4,66,120,12,14,48,0,0,NA,81,192,0.422,0.422,237,1.7,3.9,0.422,0.9,1.3,0.682,3.8,0.9,2.3,4.2,14.8,4,1.3,2.4,0.2,0.3,1,0,0,NA,1.7,3.9,0.422,0.422
1959-06-11,1982-10-28,"craig dykema",23,203.2,86.18,"Suns","F","Fractures","Arm Issues",NA,0,0,0,"placed on IL with fractured left arm",1982,10,28,1959,6,11,1982,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-09-11,1982-11-10,"joe hassett",27,195.58,81.65,"Warriors","G","Fractures","Arm Issues",NA,4,1,5,"placed on IL with broken forearm",1982,11,10,1955,9,11,1978,1983,291,6,19,44,0.432,0,0,NA,11,21,14,39,0,1983,139,2,3,8,2,0,9,1,9,0.111,18,35,0.514,0.443,181,3.2,7.3,0.432,0,0,NA,1.8,3.5,2.3,6.5,23.2,2,0.5,1.3,0.3,0,1.5,0.2,1.5,0.111,3,5.8,0.514,0.443
1959-02-16,1982-11-26,"kelly tripucka",23,198.12,99.79,"Pistons","F-G",NA,"Knee Issues",NA,0,9,9,"placed on IL with knee injury",1982,11,26,1959,2,16,1982,1991,27,58,565,1156,0.489,392,464,0.845,264,237,157,1536,0,1983,2252,58,126,138,67,20,187,14,37,0.378,551,1119,0.492,0.495,4,9.7,19.9,0.489,6.8,8,0.845,4.6,4.1,2.7,26.5,38.8,58,2.2,2.4,1.2,0.3,3.2,0.2,0.6,0.378,9.5,19.3,0.492,0.495
1954-12-27,1982-11-28,"kent benson",27,208.28,106.59,"Pistons","C","Strains","Knee Issues",NA,4,6,10,"placed on IL with strained ligaments in left knee",1982,11,28,1954,12,27,1978,1988,81,75,405,802,0.505,127,158,0.804,653,159,214,940,0,1982,2467,72,219,434,66,98,160,3,11,0.273,402,791,0.508,0.507,83,5.4,10.7,0.505,1.7,2.1,0.804,8.7,2.1,2.9,12.5,32.9,72,2.9,5.8,0.9,1.3,2.1,0,0.1,0.273,5.4,10.5,0.508,0.507
1947-12-30,1982-12-10,"steve mix",34,200.66,97.52,"Bucks","F","Sprains","Ankle Issues",NA,12,1,13,"placed on IL with sprained right ankle",1982,12,10,1947,12,30,1970,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-03-01,1982-12-26,"brian winters",30,193.04,83.91,"Bucks","G-F","Strains","Leg Issues",NA,7,1,8,"placed on IL with strained hamstring",1982,12,26,1952,3,1,1975,1983,148,57,255,587,0.434,73,85,0.859,110,156,132,605,0,1983,1361,12,35,75,45,4,81,22,68,0.324,233,519,0.449,0.453,110,4.5,10.3,0.434,1.3,1.5,0.859,1.9,2.7,2.3,10.6,23.9,12,0.6,1.3,0.8,0.1,1.4,0.4,1.2,0.324,4.1,9.1,0.449,0.453
1959-02-03,1983-01-07,"darnell valentine",23,185.42,83.01,"Blazers","G","Fractures","Foot Issues",NA,1,8,9,"placed on IL with broken left foot",1983,1,7,1959,2,3,1982,1991,152,47,209,460,0.454,169,213,0.793,117,293,139,587,0,1983,1298,36,34,83,101,5,131,0,1,0,209,459,0.455,0.454,86,4.4,9.8,0.454,3.6,4.5,0.793,2.5,6.2,3,12.5,27.6,36,0.7,1.8,2.1,0.1,2.8,0,0,0,4.4,9.8,0.455,0.454
1956-12-24,1983-01-18,"ed rains",26,200.66,86.18,"Spurs","F",NA,"Knee Issues",NA,1,0,1,"placed on IL with knee injury",1983,1,18,1956,12,24,1982,1983,267,34,33,83,0.398,29,43,0.674,44,22,35,95,0,1983,292,1,25,19,10,1,25,0,1,0,33,82,0.402,0.398,282,1,2.4,0.398,0.9,1.3,0.674,1.3,0.6,1,2.8,8.6,1,0.7,0.6,0.3,0,0.7,0,0,0,1,2.4,0.402,0.398
1954-12-27,1983-02-17,"kent benson",28,208.28,106.59,"Pistons","C","Strains","Knee Issues",NA,5,5,10,"placed on IL with strained knee ligaments",1983,2,17,1954,12,27,1978,1988,237,21,85,182,0.467,38,50,0.76,155,49,61,208,0,1983,599,15,53,102,14,17,35,0,1,0,85,181,0.47,0.467,122,4,8.7,0.467,1.8,2.4,0.76,7.4,2.3,2.9,9.9,28.5,15,2.5,4.9,0.7,0.8,1.7,0,0,0,4,8.6,0.47,0.467
